pk,city_x,year_x,weekofyear_x,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,city_y,year_y,weekofyear_y,total_cases
sj_1992_23,sj,1992,23,1992-06-03,0.12165,0.13995,0.1100857,0.1022286,42.24,299.104285714,299.228571429,296.522857143,301.0,297.8,50.0,85.8271428571,42.24,17.9957142857,2.1142857142900002,27.5,6.914285714289999,31.7,22.8,103.9,sj,1992,23,19
iq_2005_5,iq,2005,5,2005-02-05,0.1582286,0.16725,0.15181429999999999,0.1266,88.96,299.06142857099996,300.828571429,296.907142857,308.4,295.3,47.3,89.4271428571,88.96,18.6357142857,9.34285714286,28.525,10.725,35.4,22.2,3.8,iq,2005,5,8
iq_2007_38,iq,2007,38,2007-09-17,0.31565709999999997,0.3545,0.3326429,0.4172,58.22,298.508571429,300.714285714,295.83428571400003,309.2,293.3,34.27,86.7071428571,58.22,17.3671428571,12.4,27.2,10.833333333299999,33.0,21.6,16.3,iq,2007,38,5
iq_2002_32,iq,2002,32,2002-08-06,0.3041167,0.2788429,0.3074571,0.3378429,14.34,296.79571428599996,298.642857143,292.674285714,308.0,289.1,5.44,80.47,14.34,14.2457142857,13.457142857100001,27.25,12.8,34.0,20.2,0.0,iq,2002,32,7
iq_2009_5,iq,2009,5,2009-01-29,0.16673329999999997,0.17373329999999998,0.19043329999999997,0.16171670000000002,118.54,297.495714286,298.8,296.51428571400004,304.4,294.0,66.1,94.92857142860001,118.54,18.13,8.14285714286,27.65,11.65,33.9,21.1,67.8,iq,2009,5,35
iq_2007_33,iq,2007,33,2007-08-13,0.2666667,0.2719333,0.2438857,0.19645710000000002,36.78,298.091428571,298.94285714299997,294.07285714299996,308.0,291.8,9.21,80.9357142857,36.78,15.565714285699999,9.71428571429,26.9,11.0,33.1,21.3,76.5,iq,2007,33,2
sj_1997_39,sj,1997,39,1997-09-24,0.12258,0.09823333,0.1432143,0.14341429999999997,13.18,300.42,300.51428571400004,296.385714286,302.6,298.0,39.6,78.78,13.18,17.8285714286,2.4,28.4,6.74285714286,32.2,23.9,25.4,sj,1997,39,34
sj_1997_15,sj,1997,15,1997-04-09,0.0602,0.069825,0.2164286,0.2027714,6.65,296.595714286,296.635714286,291.842857143,300.7,294.3,18.73,74.85,6.65,13.4928571429,2.3857142857099998,25.3571428571,5.61428571429,31.1,21.7,0.6,sj,1997,15,11
sj_1995_29,sj,1995,29,1995-07-23,0.1175,0.10775,0.1555714,0.16648570000000001,36.58,300.401428571,300.664285714,296.848571429,302.8,299.0,38.3,81.09,36.58,18.3542857143,2.72857142857,29.228571428600002,7.3,33.9,25.0,30.6,sj,1995,29,11
iq_2000_40,iq,2000,40,2000-10-07,0.33754,0.2769429,0.2775,0.25505,46.22,298.372857143,300.5,294.664285714,309.8,292.7,16.6,82.3714285714,46.22,16.1485714286,11.9714285714,26.7,11.675,34.0,20.0,63.0,iq,2000,40,0
iq_2001_44,iq,2001,44,2001-10-29,0.2108857,0.2075667,0.2066143,0.23199999999999998,83.53,298.341428571,299.507142857,295.305714286,308.8,292.0,46.46,85.5728571429,83.53,16.9585714286,11.271428571400001,27.64,10.38,35.8,21.5,76.0,iq,2001,44,0
sj_2007_41,sj,2007,41,2007-10-08,0.009000000000000001,0.10400000000000001,0.1181286,0.12634289999999998,108.26,300.79,300.94285714299997,296.835714286,302.9,299.3,21.98,79.1785714286,108.26,18.3757142857,3.0,28.1285714286,6.914285714289999,33.3,23.9,14.5,sj,2007,41,135
iq_2010_10,iq,2010,10,2010-03-12,0.31172859999999997,0.2926857,0.2725857,0.3948,57.78,298.837142857,300.092857143,298.141428571,306.9,292.8,86.1,96.25,57.78,20.0914285714,8.81428571429,28.55,10.05,35.4,21.4,44.5,iq,2010,10,12
sj_2004_38,sj,2004,38,2004-09-16,0.04015,,0.09487143,0.13944289999999998,52.29,301.1,301.257142857,297.304285714,303.3,299.3,16.0,80.0328571429,52.29,18.904285714300002,2.4285714285699997,28.6428571429,6.11428571429,32.2,24.4,32.8,sj,2004,38,13
iq_2008_37,iq,2008,37,2008-09-09,0.2319,0.27625,0.2612,0.2327833,86.14,296.921428571,298.242857143,295.484285714,305.9,293.4,59.1,92.6528571429,86.14,17.03,7.685714285710001,27.9666666667,12.583333333299999,36.2,20.8,16.5,iq,2008,37,17
sj_1999_21,sj,1999,21,1999-05-28,,0.0738,0.1826429,0.1713286,15.26,300.052857143,300.164285714,296.214285714,302.4,298.6,18.64,79.7171428571,15.26,17.6385714286,2.2142857142900003,28.3857142857,6.74285714286,33.3,24.4,8.2,sj,1999,21,13
sj_1991_43,sj,1991,43,1991-10-22,0.1944,0.1186,0.18081429999999998,0.1998714,50.24,299.891428571,299.992857143,295.455714286,302.0,298.0,12.6,76.7771428571,50.24,16.85,2.8142857142900004,27.8285714286,7.085714285710001,32.8,23.3,3.5,sj,1991,43,129
sj_1996_18,sj,1996,18,1996-04-29,0.3144667,0.1974,0.2231,0.2046286,5.63,298.007142857,298.092857143,293.538571429,299.8,296.6,21.5,76.3942857143,5.63,14.9385714286,1.8428571428599998,26.014285714299998,6.62857142857,30.0,22.2,25.6,sj,1996,18,4
iq_2005_42,iq,2005,42,2005-10-22,0.3072571,0.2782143,0.35482859999999994,0.28695709999999996,73.97,299.578571429,301.19285714299997,295.768571429,310.5,291.9,35.08,81.69142857140001,73.97,17.4171428571,12.2428571429,29.1,12.7,36.5,21.7,64.0,iq,2005,42,3
sj_1991_14,sj,1991,14,1991-04-02,0.1691,0.216825,0.2605143,0.22197139999999999,12.92,297.064285714,297.185714286,292.48,299.4,295.4,20.9,75.6628571429,12.92,13.9914285714,2.2857142857099997,25.2428571429,6.81428571429,28.9,20.6,4.1,sj,1991,14,16
iq_2008_48,iq,2008,48,2008-11-25,0.2510143,0.2883143,0.2537,0.3213,81.11,298.53,299.721428571,297.577142857,306.1,294.7,90.68,95.26,81.11,19.3885714286,7.1,26.1,8.35,33.5,21.0,59.0,iq,2008,48,13
sj_1994_21,sj,1994,21,1994-05-28,0.1178,0.10975,0.2084714,0.2084857,17.52,299.94142857099996,300.228571429,296.064285714,302.3,297.7,7.9,79.5028571429,17.52,17.4871428571,2.8857142857099998,29.1,7.07142857143,33.9,24.4,6.9,sj,1994,21,31
sj_2005_45,sj,2005,45,2005-11-12,-0.00135,0.06455,0.20221429999999999,0.1520714,27.22,300.664285714,300.73571428599996,296.74857142900004,302.6,299.0,20.43,79.3271428571,27.22,18.2285714286,2.12857142857,27.8714285714,7.014285714289999,32.8,23.3,32.5,sj,2005,45,43
sj_1993_2,sj,1993,2,1993-01-15,0.03006667,0.03785,0.13188570000000002,0.1092,0.0,297.331428571,297.342857143,293.06857142900003,299.2,296.2,27.5,77.1442857143,0.0,14.4671428571,1.7142857142899999,24.5,7.04285714286,28.3,20.6,23.5,sj,1993,2,28
sj_2006_5,sj,2006,5,2006-02-05,0.0443,-0.005,0.16813329999999999,0.1399571,0.0,297.541428571,297.635714286,292.347142857,300.2,295.5,9.89,72.8728571429,0.0,13.86,2.15714285714,23.4142857143,6.11428571429,28.9,18.9,7.6,sj,2006,5,9
sj_1999_40,sj,1999,40,1999-10-08,0.1322,0.01383333,0.21022860000000002,0.1405857,52.34,300.49714285700003,300.6,296.657142857,302.5,298.5,22.37,79.6742857143,52.34,18.12,1.9428571428599999,28.0,6.985714285710001,32.8,23.3,16.2,sj,1999,40,55
sj_2000_9,sj,2000,9,2000-03-04,0.17025,0.1962,0.2178,0.1580429,98.45,296.552857143,296.678571429,291.952857143,298.9,294.5,14.91,75.7214285714,98.45,13.5871428571,2.47142857143,24.528571428600003,6.81428571429,29.4,20.0,15.0,sj,2000,9,3
iq_2006_5,iq,2006,5,2006-02-05,0.3791143,0.30532859999999995,0.34597140000000004,0.37157140000000005,34.17,297.16571428599997,298.221428571,296.647142857,302.7,294.3,63.98,97.32,34.17,18.2642857143,5.52857142857,,,33.7,21.5,118.9,iq,2006,5,39
sj_2004_12,sj,2004,12,2004-03-18,,,0.02834286,0.0116,0.0,298.254285714,298.428571429,294.25142857099996,300.3,296.0,13.81,78.5471428571,0.0,15.591428571400002,2.5714285714300003,25.9142857143,6.6428571428600005,31.1,20.6,12.2,sj,2004,12,7
iq_2008_4,iq,2008,4,2008-01-22,0.27797140000000004,0.32492859999999996,0.2219143,0.29567140000000003,102.59,297.207142857,298.342857143,296.25,304.8,294.8,93.43,95.1257142857,102.59,17.84,5.97142857143,,,31.3,21.9,46.3,iq,2008,4,38
iq_2009_7,iq,2009,7,2009-02-12,0.1702714,0.15111429999999998,0.1404714,0.1429714,60.51,297.32285714299996,298.471428571,296.194285714,305.7,292.9,48.72,94.2342857143,60.51,17.7657142857,7.17142857143,28.1,12.333333333299999,35.0,21.2,14.0,iq,2009,7,20
sj_1997_42,sj,1997,42,1997-10-15,-0.01515,0.0831,0.2018667,0.2107333,99.33,299.478571429,299.435714286,296.435714286,302.9,297.6,182.0,83.5757142857,99.33,17.9271428571,1.8428571428599998,27.3571428571,6.42857142857,31.1,22.8,6.3,sj,1997,42,56
sj_2006_16,sj,2006,16,2006-04-23,-0.012,-0.1001,0.1578167,0.1299714,60.86,298.591428571,298.821428571,294.452857143,301.1,296.8,28.63,78.0242857143,60.86,15.8657142857,3.1,26.6857142857,6.12857142857,30.6,22.8,5.4,sj,2006,16,3
iq_2003_47,iq,2003,47,2003-11-19,0.2636429,0.2816571,0.2466667,0.3012571,123.63,298.68142857099997,300.107142857,296.72571428599997,307.0,294.8,40.8,90.88285714290001,123.63,18.378571428599997,9.04285714286,27.9,10.55,36.0,22.4,284.4,iq,2003,47,1
sj_1990_20,sj,1990,20,1990-05-14,0.03225,0.1729667,0.1572,0.1708429,34.54,298.781428571,298.87857142900003,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.714285714299997,6.485714285709999,32.2,22.8,41.4,sj,1990,20,4
sj_1999_44,sj,1999,44,1999-11-05,0.06275,0.1034,0.1734571,0.16588329999999998,4.84,299.96,299.94285714299997,296.531428571,302.0,298.0,24.52,81.6285714286,4.84,18.0142857143,1.8857142857099998,27.4428571429,6.54285714286,32.2,23.9,40.9,sj,1999,44,42
iq_2009_12,iq,2009,12,2009-03-19,0.15788329999999998,0.1921,0.21372860000000002,0.20138570000000003,106.68,297.36571428599996,298.25,296.5,304.6,293.6,66.83,95.70857142860001,106.68,18.1057142857,6.18571428571,27.8,10.5,33.7,21.0,14.3,iq,2009,12,9
iq_2001_41,iq,2001,41,2001-10-08,0.4202857,0.3819571,0.4438,0.5460166999999999,58.75,299.158571429,300.285714286,293.812857143,312.3,290.8,12.3,74.4185714286,58.75,15.3271428571,11.3428571429,28.525,12.475,36.8,21.8,30.9,iq,2001,41,0
sj_1997_35,sj,1997,35,1997-08-27,0.06065,0.08936667,0.18697139999999998,0.2091857,94.72,300.265714286,300.335714286,296.70428571400004,302.5,298.8,35.9,81.1428571429,94.72,18.182857142899998,2.1,27.985714285700002,6.44285714286,32.2,22.8,50.0,sj,1997,35,26
iq_2001_15,iq,2001,15,2001-04-09,0.3827571,0.37097140000000006,0.3438857,0.37627140000000003,80.82,297.17571428599996,298.3,296.13,305.5,292.1,110.1,94.6028571429,80.82,17.6957142857,6.77142857143,26.46,11.66,34.0,19.5,120.1,iq,2001,15,0
sj_1994_28,sj,1994,28,1994-07-16,0.1396,0.22405,0.18467139999999999,0.18058570000000002,9.77,299.481428571,299.65,295.168571429,301.5,297.9,18.52,77.3028571429,9.77,16.502857142899998,2.12857142857,28.1714285714,6.014285714290001,32.2,23.9,28.7,sj,1994,28,49
sj_1990_27,sj,1990,27,1990-07-02,,0.12155,0.16068329999999997,0.20256670000000002,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.071428571400002,2.01428571429,28.3285714286,6.514285714290001,33.9,24.4,1.1,sj,1990,27,6
sj_1994_4,sj,1994,4,1994-01-29,0.0912,-0.11626669999999999,0.1635571,0.19851429999999998,0.0,297.571428571,297.707142857,293.531428571,299.2,296.3,19.04,78.38142857140001,0.0,14.9385714286,2.32857142857,25.3285714286,7.04285714286,29.4,20.6,9.7,sj,1994,4,36
sj_1997_48,sj,1997,48,1997-11-26,0.2192,0.1606,0.17492860000000002,0.2117571,4.76,299.62,299.7,296.337142857,301.9,297.9,42.9,82.27,4.76,17.7714285714,2.2,27.2571428571,5.67142857143,30.6,23.9,81.8,sj,1997,48,49
iq_2009_52,iq,2009,52,2009-12-24,0.21042220000000003,0.2571375,0.2211333,0.30025559999999996,98.79,297.18142857099997,298.185714286,296.55714285700003,302.9,294.9,66.3,96.88571428569999,98.79,18.18,5.25714285714,27.2,8.2,32.2,21.8,31.2,iq,2009,52,0
sj_2005_23,sj,2005,23,2005-06-11,0.0606,0.09883333,0.1881857,0.1763,32.02,301.11714285700003,301.12857142900003,296.68857142900004,303.0,299.4,4.5,76.94,32.02,18.1657142857,2.5714285714300003,28.728571428600002,5.95714285714,32.8,24.4,4.4,sj,2005,23,12
sj_2001_24,sj,2001,24,2001-06-11,,0.0271,0.27087140000000004,0.2212,21.93,300.424285714,300.4,295.888571429,302.6,298.2,7.0,76.4257142857,21.93,17.25,3.1142857142900002,28.514285714299998,6.74285714286,33.9,23.9,20.9,sj,2001,24,12
iq_2009_13,iq,2009,13,2009-03-26,0.2235857,0.2591333,0.2632857,0.3057857,100.78,297.152857143,298.321428571,296.184285714,303.3,294.6,49.93,94.9028571429,100.78,17.78,6.3571428571399995,28.5,11.5,34.4,21.5,45.0,iq,2009,13,5
sj_1997_9,sj,1997,9,1997-02-26,,0.04896667,0.15534,0.1579,0.0,297.26428571400004,297.357142857,292.472857143,298.8,295.7,15.1,74.63142857140001,0.0,13.931428571400001,2.17142857143,24.471428571399997,5.54285714286,27.8,21.1,30.0,sj,1997,9,28
iq_2006_29,iq,2006,29,2006-07-23,0.3602857,0.341,0.3629571,0.3211286,54.72,297.397142857,299.085714286,294.258571429,307.3,291.8,40.0,85.14,54.72,15.7885714286,11.0,27.4,12.125,34.1,19.9,47.0,iq,2006,29,2
sj_2001_8,sj,2001,8,2001-02-19,0.2170333,0.14523329999999998,0.2280714,0.21045709999999998,0.0,297.817142857,298.042857143,292.668571429,299.7,296.7,3.02,73.0728571429,0.0,14.0985714286,2.1428571428599996,24.7571428571,7.0,28.9,19.4,17.6,sj,2001,8,20
sj_1994_39,sj,1994,39,1994-10-01,,,,,55.88,299.508571429,299.642857143,295.821428571,301.8,297.7,45.2,80.3728571429,55.88,17.2485714286,2.6,28.014285714299998,6.7,33.9,23.3,31.5,sj,1994,39,395
iq_2003_43,iq,2003,43,2003-10-22,0.4750143,0.3795,0.4249429,0.4324429,39.52,298.957142857,300.678571429,296.224285714,311.2,294.6,41.2,87.37,39.52,17.8957142857,9.95714285714,27.975,10.475,34.5,20.7,32.1,iq,2003,43,2
iq_2000_51,iq,2000,51,2000-12-23,0.2650143,0.16905710000000002,0.23486669999999998,0.3022429,3.9,300.411428571,302.0,291.092857143,311.2,294.6,5.7,60.641428571400006,3.9,13.1885714286,13.0,28.2,12.2833333333,35.0,21.0,0.0,iq,2000,51,0
iq_2004_14,iq,2004,14,2004-04-01,0.136,0.138,0.1862333,0.1294333,101.22,297.202857143,298.26428571400004,296.815714286,303.9,293.8,88.9,97.9414285714,101.22,18.47,5.21428571429,28.0666666667,9.1,33.9,22.7,2.0,iq,2004,14,1
sj_2000_49,sj,2000,49,2000-12-09,0.11875,0.0806,0.11763330000000001,0.04611667,19.69,299.702857143,299.728571429,295.402857143,301.5,297.9,6.8,77.3571428571,19.69,16.7714285714,2.05714285714,26.8142857143,6.37142857143,31.1,22.8,6.4,sj,2000,49,23
iq_2001_9,iq,2001,9,2001-02-26,0.30764,0.2282167,0.2245,0.2912833,47.14,297.038571429,298.30714285700003,295.767142857,305.1,293.7,26.96,93.3142857143,47.14,17.3085714286,7.385714285710001,26.56,9.48,33.2,20.5,21.1,iq,2001,9,0
sj_1991_32,sj,1991,32,1991-08-06,0.07315,0.1124,0.19258570000000003,0.2093571,13.29,299.831428571,299.864285714,296.468571429,301.8,298.1,31.5,81.96,13.29,17.8957142857,2.2428571428599997,28.5,6.514285714290001,32.8,24.4,12.5,sj,1991,32,62
sj_2003_34,sj,2003,34,2003-08-20,0.0726,0.0519,0.1617286,0.1578143,42.46,300.77428571400003,300.792857143,296.611428571,302.8,298.9,31.0,78.2542857143,42.46,18.0614285714,2.7857142857099997,28.1428571429,6.92857142857,32.2,23.9,25.7,sj,2003,34,31
sj_1996_9,sj,1996,9,1996-02-26,0.076,0.108975,0.2699333,0.22277139999999998,177.58,297.598571429,297.707142857,293.731428571,299.6,296.0,15.67,79.19857142859999,177.58,15.128571428599999,2.3,25.5571428571,7.214285714289999,29.4,21.1,4.6,sj,1996,9,23
sj_1997_20,sj,1997,20,1997-05-14,0.1019,0.0747,0.11751669999999999,0.1297857,33.03,298.85,298.98571428599996,294.798571429,301.4,297.1,27.3,78.5371428571,33.03,16.1442857143,2.54285714286,27.5714285714,8.67142857143,32.8,22.2,12.6,sj,1997,20,9
sj_1994_35,sj,1994,35,1994-09-03,0.02185,0.14525,0.2137857,0.2040857,59.91,300.392857143,300.535714286,296.29571428599996,302.7,298.7,20.24,78.4828571429,59.91,17.7057142857,2.52857142857,29.4285714286,6.885714285710001,33.9,25.6,11.0,sj,1994,35,179
sj_1997_21,sj,1997,21,1997-05-21,0.0798,0.10653330000000001,0.1590333,0.09873333,0.0,299.241428571,299.385714286,294.661428571,301.1,297.8,10.1,75.9828571429,0.0,15.9971428571,2.4285714285699997,27.5857142857,7.085714285710001,32.2,23.9,12.9,sj,1997,21,3
iq_2007_31,iq,2007,31,2007-07-30,0.4172286,0.36992859999999994,0.36697140000000006,0.4898714,70.88,296.724285714,297.935714286,293.0,305.6,290.0,25.5,82.5714285714,70.88,14.718571428599999,11.5,24.25,9.75,34.0,16.4,55.9,iq,2007,31,5
iq_2007_46,iq,2007,46,2007-11-12,0.1784286,0.12875,0.2167714,0.1853,109.5,298.13428571400004,299.742857143,296.83,308.6,294.6,103.3,93.55428571430001,109.5,18.5485714286,8.68571428571,27.675,10.85,33.5,21.6,111.3,iq,2007,46,5
sj_1990_45,sj,1990,45,1990-11-05,0.1526,0.181775,0.1783286,0.1866286,20.46,299.972857143,300.035714286,296.564285714,302.2,298.5,14.4,81.7157142857,20.46,18.0742857143,2.3857142857099998,28.471428571399997,8.42857142857,33.3,23.9,6.6,sj,1990,45,71
iq_2008_49,iq,2008,49,2008-12-02,0.1643667,0.19635,0.1731333,0.15491670000000002,45.03,298.111428571,299.12857142900003,297.044285714,305.2,293.4,139.55,94.64,45.03,18.7785714286,7.1428571428600005,26.96,10.64,33.7,21.0,80.0,iq,2008,49,9
sj_1996_10,sj,1996,10,1996-03-04,,0.11005,0.19266670000000002,0.1776429,9.96,297.292857143,297.478571429,292.12857142900003,299.6,295.5,3.2,73.06,9.96,13.6957142857,2.52857142857,25.5714285714,7.914285714289999,30.6,20.6,3.3,sj,1996,10,14
sj_1993_42,sj,1993,42,1993-10-22,0.0129,,0.1347,0.14968570000000003,0.0,300.18142857099997,300.242857143,296.168571429,302.4,298.0,17.0,78.8071428571,0.0,17.592857142899998,2.2571428571400003,28.2,7.7,33.3,23.9,6.4,sj,1993,42,38
sj_1995_23,sj,1995,23,1995-06-11,0.15495,0.0278,0.2666143,0.2119,106.04,298.68857142900004,298.65,295.827142857,300.2,297.5,86.8,84.3457142857,106.04,17.2171428571,1.64285714286,27.3,7.1428571428600005,31.1,22.8,35.5,sj,1995,23,8
sj_2000_39,sj,2000,39,2000-09-30,,0.1337,0.10357999999999999,0.13696670000000002,42.65,299.88,299.921428571,296.597142857,301.5,298.8,42.8,82.2828571429,42.65,18.0857142857,1.72857142857,27.528571428600003,6.04285714286,31.1,23.9,30.6,sj,2000,39,11
iq_2000_38,iq,2000,38,2000-09-23,0.3488143,0.2957167,0.4048429,0.2425714,97.55,297.435714286,298.51428571400004,292.707142857,310.2,288.3,3.2,77.4871428571,97.55,14.338571428599998,11.3142857143,27.5333333333,12.566666666700002,36.0,20.5,104.2,iq,2000,38,0
sj_1999_22,sj,1999,22,1999-06-04,0.04023333,-0.0127,0.12088330000000001,0.09056667,2.16,300.587142857,300.671428571,296.23571428599996,302.7,298.4,6.6,77.3714285714,2.16,17.6442857143,3.25714285714,28.4142857143,6.57142857143,33.3,23.9,5.9,sj,1999,22,11
sj_1995_42,sj,1995,42,1995-10-22,0.033625,0.09466000000000001,0.09144286,0.11944289999999999,55.67,299.794285714,299.842857143,296.161428571,301.8,297.8,40.8,80.66428571430001,55.67,17.621428571400003,2.02857142857,27.842857142899998,7.17142857143,33.9,23.3,39.1,sj,1995,42,36
sj_2000_21,sj,2000,21,2000-05-27,0.1882,0.1144,0.18398570000000003,0.11267139999999999,39.45,298.778571429,299.142857143,294.86571428599996,301.2,297.0,13.8,79.1971428571,39.45,16.2371428571,2.91428571429,26.8142857143,6.014285714290001,31.1,22.8,0.3,sj,2000,21,2
sj_2003_36,sj,2003,36,2003-09-03,,,0.2036286,0.2409286,86.4,300.63142857099996,300.75,297.418571429,302.7,298.7,63.0,82.7842857143,86.4,18.9685714286,2.1857142857099996,27.6857142857,6.07142857143,31.7,24.4,29.8,sj,2003,36,26
sj_2006_38,sj,2006,38,2006-09-24,-0.0556,-0.0162,0.1977,0.17192860000000001,27.18,301.418571429,301.564285714,296.721428571,303.6,299.2,9.6,75.8614285714,27.18,18.21,3.41428571429,28.8285714286,6.8,33.3,23.9,2.3,sj,2006,38,33
iq_2005_24,iq,2005,24,2005-06-18,0.2890857,0.2256429,0.2247143,0.26512859999999994,104.83,297.377142857,298.62142857099997,295.32,304.8,293.4,29.01,89.19428571430001,104.83,16.8242857143,8.52857142857,27.6666666667,9.833333333330001,33.3,22.0,73.7,iq,2005,24,2
